exit_time,strategy,symbol,side,entry,exit,exit_reason,pnl,gross_pnl,fee,slippage_cost,pnl_pct,bars_held,entry_time,regime,adx_entry,atr_entry,volume_ratio,alloc,notional,risk_dollar,fills
2026-07-01T17:58:10.552353+00:00,SUI macd_momentum/4h,SUIUSDT,SHORT,0.68832456,0.71980041,stop_loss,-2.99,-2.92,0.0639,0.0511,-4.67,20,2026-06-28T12:38:33.636739+00:00,high_vol,31.5,0.0172,0.44,400.0,63.92,4.0,"[{""frac"": 1.0, ""price"": 0.7195126040630331, ""reason"": ""stop_loss"", ""bar"": 498}]"
2026-07-02T10:42:29.478839+00:00,XRP macd_momentum/4h,XRPUSDT,SHORT,1.0335864,1.07824301,stop_loss,-2.99,-2.92,0.0675,0.054,-4.42,11,2026-06-30T17:56:39.884548+00:00,low_vol,24.4,0.0183,1.83,300.0,67.53,3.0,"[{""frac"": 1.0, ""price"": 1.0778118844763285, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-02T14:04:05.100590+00:00,DOGE macd_momentum/4h,DOGEUSDT,SHORT,0.07070171,0.0748932,stop_loss,-2.24,-2.21,0.0372,0.0298,-6.03,12,2026-06-30T17:56:39.884548+00:00,low_vol,53.1,0.0014,3.99,300.0,37.22,3.0,"[{""frac"": 1.0, ""price"": 0.0748632551392254, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-05T10:15:08.578239+00:00,XRP macd_momentum/4h,XRPUSDT,LONG,1.10304104,1.12489156,stop_loss,1.36,1.43,0.0723,0.0579,1.88,13,2026-07-03T10:37:27.346549+00:00,low_vol,23.7,0.0183,0.76,300.0,72.34,3.0,"[{""frac"": 1.0, ""price"": 1.125341700031579, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-06T08:22:03.826436+00:00,SUI macd_momentum/4h,SUIUSDT,LONG,0.76940764,0.73559157,stop_loss,-3.5,-3.42,0.0779,0.0623,-4.5,16,2026-07-03T21:08:43.765800+00:00,low_vol,33.2,0.0158,1.16,400.0,77.9,4.0,"[{""frac"": 1.0, ""price"": 0.7358859229052025, ""reason"": ""stop_loss"", ""bar"": 498}]"
2026-07-06T15:36:07.215486+00:00,DOGE macd_momentum/4h,DOGEUSDT,LONG,0.07860143,0.07524975,stop_loss,-1.32,-1.29,0.0302,0.0242,-4.36,12,2026-07-04T17:07:58.647937+00:00,high_vol,31.4,0.0014,1.24,300.0,30.23,3.0,"[{""frac"": 1.0, ""price"": 0.07527986582030773, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-06T21:38:29.665460+00:00,SUI macd_momentum/4h,SUIUSDT,SHORT,0.74090352,0.7660757,stop_loss,-2.76,-2.69,0.079,0.0632,-3.5,4,2026-07-06T08:22:00.969781+00:00,low_vol,27.6,0.015,1.09,400.0,79.04,4.0,"[{""frac"": 1.0, ""price"": 0.7657693918202644, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-10T10:56:27.936975+00:00,SUI macd_momentum/4h,SUIUSDT,SHORT,0.73500588,0.74498453,stop_loss,-1.09,-1.01,0.0746,0.0597,-1.46,20,2026-07-07T07:40:26.968500+00:00,low_vol,21.3,0.0158,0.73,400.0,74.63,4.0,"[{""frac"": 1.0, ""price"": 0.7446866578473257, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-11T16:59:42.793620+00:00,DOGE macd_momentum/4h,DOGEUSDT,SHORT,0.07668931,0.07539486,stop_loss,1.35,1.43,0.0849,0.0679,1.59,32,2026-07-06T15:36:04.521529+00:00,low_vol,27.9,0.0013,0.55,300.0,84.87,3.0,"[{""frac"": 1.0, ""price"": 0.07536471513819931, ""reason"": ""stop_loss"", ""bar"": 498}]"
2026-07-14T13:46:23.913733+00:00,XRP macd_momentum/4h,XRPUSDT,SHORT,1.1115552,1.09590764,stop_loss,0.9,0.97,0.0687,0.055,1.31,40,2026-07-08T02:48:13.165557+00:00,low_vol,23.6,0.0194,0.91,300.0,68.69,3.0,"[{""frac"": 1.0, ""price"": 1.0954694555950584, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-14T13:46:23.913733+00:00,DOGE macd_momentum/4h,DOGEUSDT,SHORT,0.07290083,0.07404201,stop_loss,-1.35,-1.27,0.081,0.0648,-1.67,14,2026-07-12T09:51:45.542864+00:00,low_vol,15.3,0.0011,0.64,300.0,81.03,3.0,"[{""frac"": 1.0, ""price"": 0.07401240979927103, ""reason"": ""stop_loss"", ""bar"": 499}]"
2026-07-14T13:46:23.913733+00:00,SUI macd_momentum/4h,SUIUSDT,SHORT,0.72660924,0.74583412,stop_loss,-2.4,-2.31,0.0873,0.0698,-2.75,9,2026-07-13T06:54:03.461954+00:00,low_vol,21.0,0.0133,1.3,400.0,87.3,4.0,"[{""frac"": 1.0, ""price"": 0.7455359075605593, ""reason"": ""stop_loss"", ""bar"": 499}]"
